row_id,date,state,store,product,num_sold
0,01-01-2015,Kerala,ExcelMart,Mec Mug,329
1,01-01-2015,Kerala,ExcelMart,Mec Hat,520
2,01-01-2015,Kerala,ExcelMart,Mec Sticker,146
3,01-01-2015,Kerala,MecStore,Mec Mug,572
4,01-01-2015,Kerala,MecStore,Mec Hat,911
5,01-01-2015,Kerala,MecStore,Mec Sticker,283
6,01-01-2015,Mumbai,ExcelMart,Mec Mug,526
7,01-01-2015,Mumbai,ExcelMart,Mec Hat,906
8,01-01-2015,Mumbai,ExcelMart,Mec Sticker,250
9,01-01-2015,Mumbai,MecStore,Mec Mug,1005
10,01-01-2015,Mumbai,MecStore,Mec Hat,1461
11,01-01-2015,Mumbai,MecStore,Mec Sticker,395
12,01-01-2015,Delhi,ExcelMart,Mec Mug,440
13,01-01-2015,Delhi,ExcelMart,Mec Hat,624
14,01-01-2015,Delhi,ExcelMart,Mec Sticker,175
15,01-01-2015,Delhi,MecStore,Mec Mug,706
16,01-01-2015,Delhi,MecStore,Mec Hat,1195
17,01-01-2015,Delhi,MecStore,Mec Sticker,324
18,02-01-2015,Kerala,ExcelMart,Mec Mug,318
19,02-01-2015,Kerala,ExcelMart,Mec Hat,493
20,02-01-2015,Kerala,ExcelMart,Mec Sticker,127
21,02-01-2015,Kerala,MecStore,Mec Mug,544
22,02-01-2015,Kerala,MecStore,Mec Hat,794
23,02-01-2015,Kerala,MecStore,Mec Sticker,249
24,02-01-2015,Mumbai,ExcelMart,Mec Mug,538
25,02-01-2015,Mumbai,ExcelMart,Mec Hat,845
26,02-01-2015,Mumbai,ExcelMart,Mec Sticker,237
27,02-01-2015,Mumbai,MecStore,Mec Mug,949
28,02-01-2015,Mumbai,MecStore,Mec Hat,1446
29,02-01-2015,Mumbai,MecStore,Mec Sticker,415
30,02-01-2015,Delhi,ExcelMart,Mec Mug,384
31,02-01-2015,Delhi,ExcelMart,Mec Hat,572
32,02-01-2015,Delhi,ExcelMart,Mec Sticker,155
33,02-01-2015,Delhi,MecStore,Mec Mug,653
34,02-01-2015,Delhi,MecStore,Mec Hat,986
35,02-01-2015,Delhi,MecStore,Mec Sticker,293
36,03-01-2015,Kerala,ExcelMart,Mec Mug,360
37,03-01-2015,Kerala,ExcelMart,Mec Hat,535
38,03-01-2015,Kerala,ExcelMart,Mec Sticker,141
39,03-01-2015,Kerala,MecStore,Mec Mug,579
